utmx,utmy,X,Y,Rate_per_100000,PopulationDensity,PopulationFemale,Beer,NoHealthInsurance,DrinkingPlaces,Cases,Neighbor_Disadvantage
605115.9534,4125049.698,-121.814483,37.266089,208.8,3300529.186,18396.99,773.90224,1575.75,2157.466923,3394,-110.387776
610943.4077,4087526.003,-121.754323,36.927244,206.9,217730.0525,2619.22,98.512569,248.16,351.037791,489,-7.584772
553908.406,4538415.359,-122.359057,40.99514,137.7,60347.48605,2379.31,83.147342,308.57,257.894934,209,-3.51544
496773.0161,4577635.93,-123.038575,41.350213,160.4,2180.414314,553.13,12.618042,66.16,47.306226,60,0.618238
568929.4993,4216448.899,-122.213912,38.093212,335.2,466893.0102,4786.67,279.042136,454.56,617.96227,1262,0.804566
470527.2508,4273943.244,-123.33853,38.613511,332.5,330609.3873,5021.63,175.951892,562.61,431.286667,1415,-31.309856
689419.8455,4155348.593,-120.856397,37.525674,184.4,436708.6557,4749.85,238.252884,560.63,428.054807,818,50.814161
619901.3009,4332709.741,-121.612708,39.135321,142.7,51198.58258,1053.3,25.084436,166.24,112.470117,113,8.756062
531170.0092,4434722.171,-122.634508,40.062176,88.6,4642.379742,546.62,13.743136,67.98,62.633461,48,2.818681
522084.2786,4522209.817,-122.738,40.850639,147.6,17.10184,149.85,1.17641,30.39,8.217655,16,0.703624
831760.7185,4025766.699,-119.304778,36.319847,134.7,223285.4287,3803.53,95.382014,629.21,221.92896,490,84.085021
726207.4308,4201346.245,-120.426131,37.931562,108.8,2348.027401,502.95,6.559582,51.57,60.601107,52,-2.208742
849681.0705,3798430.925,-119.202478,34.268255,155.5,881510.6298,8595,392.549408,1441,1240.189359,1104,-26.999502
611392.0388,4268261.08,-121.721574,38.555812,161.5,206381.4653,2113.66,58.173224,195.05,304.30248,303,0.827465
626004.3798,4331183.219,-121.542398,39.120708,153.3,25471.18532,680.29,14.710085,101.87,89.723468,96,6.191675
2052528.21,4570401.567,-104.903956,39.843596,288.5,477215.855,4769.58,337.689108,1010.96,554.651825,1212,-10.005414
2015391.578,4285119.119,-105.929608,37.456129,210.2,1101.364624,200.27,18.07746,45.98,8.10544,28,1.040198
2058977.874,4553940.775,-104.870617,39.69109,288,804913.8101,7420.26,434.263393,1100.3,1032.038971,1578,-57.116644
1905219.463,4225041.811,-107.237667,37.106767,131.3,218.239045,192.8,6.055013,42.05,9.968523,16,-1.789888
2018705.725,4582081.653,-105.253508,40.003901,166.4,258229.5545,3363.97,155.078327,315.87,341.63362,473,-31.554459
2040023.693,4580127.93,-105.020423,39.949292,26.7,53882.0819,747.12,42.287503,66.16,110.288448,16,-9.29071
